UserID,Age,NumberOfPeople,BookingDay,BookingMonth,CheckInDay,CheckInMonth,NumberOfDaysFromBooking,NumberOfDaysOfStay,LocationOfHotel,TravellerLocation,HotelType,TravelType,Price
362,65,4,5,11,1,11,3,30,7,5,4,2,1866
552,50,1,4,9,6,9,9,10,2,4,2,2,628
543,47,4,6,11,6,12,21,16,3,2,4,1,2085
267,58,4,5,2,1,3,10,13,6,7,4,2,5336
543,45,1,3,3,5,4,9,12,1,5,3,2,2795
543,55,4,7,2,7,3,20,11,6,2,2,2,2820
883,57,4,4,6,5,7,29,13,2,5,3,2,1841
552,35,2,4,11,7,12,24,11,2,6,3,2,731
123,64,4,7,12,2,1,9,19,6,7,2,1,5013
552,24,2,2,5,3,5,15,15,2,3,3,1,548
361,43,1,5,9,4,9,6,15,3,7,1,2,11715
123,60,2,6,4,7,4,1,6,4,2,2,1,5304
883,70,1,1,1,3,1,2,22,4,6,3,1,1599
982,61,2,4,4,2,5,26,2,4,7,1,2,3185
712,37,1,7,5,5,5,12,7,1,6,4,1,1347
883,39,1,3,4,4,4,8,14,5,5,3,2,1038
361,65,3,3,4,3,5,28,24,5,3,2,1,11644
883,27,1,3,1,6,1,10,4,3,6,1,1,1454
883,47,3,3,11,4,12,29,22,7,3,4,2,1441
354,57,2,5,1,2,2,11,7,1,5,3,1,7571
712,62,2,3,3,4,3,8,16,1,5,1,2,1036
354,40,1,1,9,6,9,12,5,1,4,3,2,6498
552,37,2,4,1,3,1,20,24,4,3,3,1,939
712,34,2,5,3,3,3,12,22,1,5,4,1,1124
883,34,2,7,3,5,3,19,13,3,4,2,1,1904
354,38,2,4,1,2,2,19,19,2,3,1,1,6588
982,58,3,3,3,2,3,13,12,3,4,2,2,3116
552,54,1,4,5,4,5,14,17,2,7,3,1,682
361,65,1,2,1,4,1,9,18,1,5,1,2,11292
552,68,1,7,6,3,6,3,16,4,1,2,2,559
354,39,1,7,5,2,6,30,7,1,5,1,1,7182
362,42,3,6,1,5,1,6,9,3,1,1,1,1846
362,45,1,2,4,3,4,8,4,1,1,2,2,2379
123,30,1,7,6,1,7,29,19,4,6,2,2,5381
267,36,2,7,11,2,11,2,7,7,4,3,2,5391
712,67,4,1,11,1,11,21,21,6,4,3,2,1471
362,51,1,5,4,1,4,3,6,4,5,2,2,2311
543,65,1,7,7,1,8,1,13,6,6,2,1,2905
982,58,4,7,11,5,12,12,26,7,4,3,2,3925
123,50,3,1,10,2,11,22,28,5,3,4,2,5178
982,23,3,4,11,7,12,24,11,3,6,2,2,4361
267,41,4,7,1,1,2,22,4,5,6,2,1,5693
982,69,3,1,3,3,3,16,13,5,2,3,1,4767
123,51,1,3,11,7,12,18,19,6,1,1,1,4503
543,22,4,5,9,7,10,30,2,6,3,4,1,2640
362,48,2,5,1,5,2,21,7,2,5,2,1,2311
362,21,1,5,4,5,5,21,17,7,7,2,2,2160
123,36,2,1,12,2,12,8,11,1,7,4,2,4593
712,69,2,1,4,2,4,1,10,2,6,2,2,1120
552,25,4,6,3,7,3,22,28,3,4,1,1,675
543,38,2,2,3,3,4,22,25,6,7,4,1,2960
543,50,4,7,6,2,7,16,19,6,6,1,1,2034
543,45,4,6,9,5,10,13,12,3,4,2,1,2479
267,41,2,6,11,1,11,23,15,7,6,4,1,5790
883,21,3,6,10,6,11,21,26,3,5,3,1,1800
123,36,4,3,8,6,9,17,25,5,5,2,2,4594
123,49,4,7,5,1,5,1,14,2,3,2,2,5196
552,66,4,2,8,4,8,2,4,2,6,4,1,624
552,43,3,2,1,5,2,17,22,4,3,1,1,732
982,48,1,2,6,2,6,21,9,6,6,1,1,4556
543,52,4,4,8,4,9,28,2,4,5,3,1,2582
982,45,2,3,12,6,12,17,6,4,2,4,2,3937
123,37,2,3,6,3,6,14,22,7,3,3,1,5215
712,64,4,3,3,1,4,26,13,7,7,2,1,1142
552,41,3,7,12,4,1,25,19,2,6,3,1,718
883,29,2,3,1,2,1,6,9,7,6,4,2,1774
982,41,4,1,1,3,3,30,30,4,5,1,1,3555
354,20,4,2,4,7,4,5,27,7,4,2,1,6222
543,53,1,6,12,1,1,16,10,6,5,3,2,2044
362,45,3,1,7,7,8,27,6,4,7,2,1,2170
267,41,2,3,6,4,6,8,10,6,4,1,1,5913
361,42,2,6,5,4,5,5,13,3,3,3,2,11874
982,52,1,5,7,2,7,11,30,5,4,3,2,3911
712,35,2,7,8,7,9,21,7,3,7,1,1,1358
712,62,2,7,11,2,12,23,9,1,2,4,2,1079
982,56,2,4,1,3,2,13,20,7,7,2,1,3390
982,21,3,7,10,4,11,25,1,3,3,2,2,3875
712,43,3,7,3,7,4,21,30,7,5,3,2,1360
362,54,2,1,10,7,10,6,8,4,4,1,1,2453
354,40,1,1,6,2,7,8,29,7,4,3,2,7505
552,29,2,3,1,5,1,9,11,2,3,2,1,705
712,24,2,2,8,2,9,21,2,6,6,1,2,1211
361,35,4,4,8,5,9,15,16,2,5,1,1,11370
552,26,2,5,5,7,5,16,12,5,2,3,1,509
982,60,2,3,10,5,10,2,10,5,1,2,2,4782
354,54,3,2,11,2,11,14,23,7,6,1,1,6494
354,29,2,7,4,2,5,16,24,4,6,2,1,7112
354,20,3,5,7,3,7,12,15,1,7,3,2,6034
361,61,1,1,11,1,12,28,14,6,5,2,1,11439
543,48,3,5,11,3,12,12,19,2,2,3,1,2107
123,46,4,5,10,5,10,7,7,2,3,1,1,4707
354,42,1,4,2,1,2,4,29,4,1,4,2,6731
543,56,3,3,5,5,6,30,16,2,5,1,2,2603
362,66,3,6,12,2,12,10,27,6,2,3,2,1999
354,61,2,1,5,3,6,23,22,7,4,4,1,6026
354,35,4,1,8,3,9,30,2,5,3,2,1,7371
552,21,1,5,11,5,11,7,19,7,6,1,1,654
712,41,3,6,7,2,7,3,7,5,6,1,2,1110
362,32,3,2,3,6,4,18,17,3,4,3,1,2399
543,29,2,4,9,5,10,15,23,3,4,4,2,2555
712,32,1,3,12,2,12,13,21,3,5,1,2,1293
982,39,4,7,5,5,6,12,28,7,2,2,2,4398
982,61,1,1,10,5,10,11,1,6,2,4,1,4855
354,24,2,6,4,7,5,29,16,7,5,1,1,7581
883,52,2,4,5,6,6,30,27,6,5,2,1,1783
362,68,1,2,2,6,2,4,26,4,3,2,2,1837
982,40,1,7,2,5,2,12,1,2,5,3,2,3927
552,51,3,3,6,3,7,28,24,4,5,4,2,938
362,56,1,1,2,1,3,14,21,3,4,4,2,2187
361,23,3,5,2,4,3,20,30,2,3,4,1,11354
552,60,1,5,2,7,2,16,27,6,5,3,2,756
354,34,2,2,3,3,4,29,11,7,5,3,2,6838
883,70,3,5,6,6,6,8,17,4,2,2,1,1359
543,26,3,3,7,1,8,26,9,4,2,1,2,2892
362,68,3,1,2,2,3,22,27,4,6,1,1,2192
267,41,2,4,11,5,11,22,22,4,6,3,2,5903
982,43,2,5,3,7,3,2,5,6,2,4,2,4008
123,29,3,7,12,6,1,6,27,5,3,2,1,4864
543,20,2,7,8,6,9,27,17,2,2,1,1,2979
362,64,3,4,12,7,1,10,2,2,5,4,2,2047
123,68,3,6,5,5,6,13,30,7,5,1,2,4829
123,23,1,5,9,7,10,30,27,2,6,3,1,4731
362,52,3,4,10,7,10,3,9,1,3,2,1,1587
123,24,2,7,6,2,6,9,10,5,2,3,1,4768
361,54,4,3,8,6,8,3,8,1,4,1,2,11846
543,56,3,1,5,4,5,17,6,7,4,1,2,2080
123,41,2,1,1,2,2,22,15,6,2,4,1,5453
883,40,2,3,12,7,12,18,13,5,3,2,1,1176
361,70,1,1,11,6,12,26,14,4,2,2,1,11773
543,61,2,2,7,2,8,28,25,6,1,2,1,2026
982,30,3,5,8,6,8,8,29,4,4,4,1,4119
123,33,3,5,5,7,5,9,30,2,5,2,2,5323
883,20,2,1,9,4,10,24,4,2,7,2,1,1986
267,49,3,3,1,2,2,13,9,5,3,3,1,5379
982,35,2,6,8,5,9,27,26,3,6,4,2,4071
354,49,2,6,9,5,10,20,14,3,7,3,1,6786
982,36,1,4,6,2,7,19,27,7,4,3,2,3037
267,50,1,3,2,3,3,14,30,2,4,1,2,5771
362,29,3,2,8,3,9,15,26,3,6,2,2,2285
543,23,3,3,3,5,3,2,15,5,5,2,1,2052
123,55,2,7,11,1,11,8,2,3,7,2,2,4669
883,61,1,6,7,7,7,1,3,1,5,4,2,1656
361,52,3,1,5,6,5,5,28,1,4,2,1,11476
267,66,2,6,8,1,9,30,9,6,5,2,2,5408
543,42,3,4,8,6,9,23,9,6,2,3,1,2658
361,63,3,6,12,3,1,25,2,3,3,3,1,11872
361,62,1,2,2,2,2,14,20,2,1,2,2,11315
552,57,2,4,10,3,10,6,12,6,2,4,2,532
123,31,1,4,3,5,3,1,29,6,2,4,1,4733
552,26,4,3,7,2,7,20,17,5,7,1,1,919
354,50,2,4,7,6,7,9,29,5,3,3,1,7102
552,51,3,1,12,1,12,7,13,3,2,2,1,719
361,67,3,6,11,1,11,9,18,3,5,1,1,11305
982,42,4,5,12,1,12,3,28,2,7,2,1,4391
712,41,1,1,2,5,3,25,21,3,6,2,2,1032
354,50,4,2,9,5,9,17,10,6,7,3,1,7474
362,23,4,3,9,2,10,20,11,6,3,3,2,2434
361,65,1,1,5,5,5,4,11,1,1,1,2,11710
267,29,3,4,12,3,1,27,10,6,5,2,1,5775
354,38,2,2,11,3,11,15,23,1,1,4,1,7090
123,43,2,7,10,3,10,10,1,5,7,1,2,5347
543,63,4,2,7,2,7,7,19,3,3,3,2,2125
552,34,3,1,10,5,11,11,14,4,2,4,1,777
123,59,3,3,1,5,2,9,4,4,3,1,2,5190
361,35,2,7,1,1,2,8,14,5,2,1,1,11497
354,45,4,3,8,3,8,14,20,7,5,2,2,7131
123,65,2,3,1,7,2,18,20,1,3,3,1,5426
712,28,3,3,3,2,3,6,28,1,5,3,1,1367
982,39,2,6,7,4,8,26,16,2,5,3,1,3387
267,39,4,1,1,1,1,21,1,2,7,1,1,5429
712,58,1,1,3,5,3,18,1,4,5,4,1,1464
883,67,2,6,7,1,7,16,10,5,2,4,2,1357
361,66,2,6,5,4,5,5,29,6,5,1,1,11969
362,62,4,3,12,4,1,29,12,6,6,3,2,2286
982,38,2,1,3,2,3,1,25,6,2,1,2,3623
267,55,4,5,5,7,5,9,6,3,7,3,1,5316
362,36,1,4,5,5,5,8,4,4,4,4,1,2121
712,30,2,1,9,3,9,2,23,6,6,4,2,1406
267,40,4,5,4,4,5,20,29,2,5,4,2,5198
543,53,2,2,11,3,11,1,26,4,3,1,2,2000
123,60,4,5,8,7,9,23,24,1,7,3,2,4575
543,66,4,6,2,2,2,10,14,2,2,4,2,2355
123,40,3,3,8,7,9,18,25,3,2,4,1,4856
362,21,1,5,7,7,8,30,6,6,4,3,1,1985
362,36,4,3,11,1,12,26,27,3,1,3,1,2497
552,47,4,6,1,7,1,1,30,2,1,4,2,962
361,56,4,1,10,5,11,18,17,6,6,4,1,11632
712,61,1,4,11,7,12,24,8,7,1,1,2,1468
982,20,4,3,4,4,4,8,17,3,5,4,1,3371
883,59,2,4,10,1,11,25,29,2,6,4,2,1041
543,37,4,2,3,3,4,29,10,5,2,4,2,2788
123,41,2,5,7,7,8,16,7,2,5,2,2,4693
552,48,4,1,4,2,5,15,7,3,4,1,2,715
361,48,1,1,9,2,10,15,30,5,4,3,2,11393
982,69,1,1,2,5,3,25,18,4,3,3,1,4585
267,34,3,2,11,3,12,22,20,7,1,3,2,5270
123,52,1,4,12,5,12,1,25,3,5,1,2,5311
354,33,3,4,8,3,9,20,18,5,2,3,1,7079
361,38,1,7,5,6,6,6,14,4,5,1,1,11136
123,23,2,4,11,6,12,30,14,5,2,2,1,5482
123,25,3,4,4,4,5,14,24,2,2,1,1,4669
552,61,3,7,7,1,7,15,12,1,7,3,2,710
362,64,2,7,6,4,7,11,26,5,4,1,2,2229
354,20,1,3,4,5,5,30,9,2,3,4,1,7541
123,27,3,4,2,5,2,1,6,4,7,4,1,4511
123,49,4,2,11,4,11,16,2,5,6,1,1,5061
354,64,2,6,3,7,4,15,6,1,6,1,2,7852
354,46,4,1,9,4,10,17,10,4,5,3,1,7408
361,58,3,5,5,4,5,20,5,6,6,2,1,11893
362,62,3,2,1,7,2,26,6,1,1,4,1,1814
982,35,1,1,11,5,12,25,28,4,2,3,1,4589
361,28,1,1,2,6,2,5,20,4,6,2,2,11431
543,68,3,3,7,7,7,4,22,3,6,4,1,2727
354,34,4,1,7,7,7,13,11,2,3,1,2,6495
361,39,4,4,10,1,10,4,11,6,7,4,1,11415
123,49,1,7,11,1,11,8,1,7,7,3,1,4860
552,50,4,6,7,7,7,1,12,7,5,3,1,652
362,36,2,1,3,5,4,25,27,6,1,4,2,1992
883,42,1,6,9,5,9,6,19,6,6,2,1,1443
123,52,2,3,4,4,5,15,7,3,3,1,2,5120
982,36,1,5,3,6,3,8,6,6,5,2,2,3136
712,43,2,7,10,1,11,29,18,2,6,4,1,1388
982,39,4,7,6,3,7,24,1,7,2,3,1,3081
543,29,2,2,1,5,1,17,16,6,7,1,2,2387
543,26,2,6,10,1,11,16,18,2,7,1,1,2108
267,33,1,1,12,3,12,2,24,4,4,1,1,5427
552,55,3,1,9,5,10,25,18,2,4,4,1,627
267,69,2,4,7,1,8,25,13,6,6,3,1,5192
354,23,2,6,10,3,11,25,30,6,3,1,2,7410
982,65,2,1,4,6,5,19,17,7,1,4,1,4598
267,59,3,2,11,6,11,4,8,7,5,3,1,5812
712,50,3,7,12,6,12,20,11,4,7,3,2,1350
267,57,1,6,9,5,9,13,30,3,7,2,1,5545
362,60,4,3,9,4,10,1,2,2,2,3,1,2286
883,46,1,5,2,4,3,12,3,4,3,1,1,1460
361,21,2,1,4,1,5,14,10,4,1,2,2,11182
123,54,1,7,7,2,8,23,20,4,6,2,1,4745
543,31,3,2,3,1,4,27,3,5,2,1,1,2462
123,38,3,5,6,3,7,26,21,4,2,4,2,5358
362,48,4,4,11,5,12,15,14,2,7,1,1,2158
712,60,3,2,8,1,8,27,5,1,2,4,2,1355
361,58,2,4,9,3,9,6,14,4,2,3,2,11911
712,70,3,7,2,7,3,28,29,4,6,1,1,1090
883,51,2,3,2,4,2,22,14,2,3,1,1,1467
883,58,2,3,6,6,7,10,4,5,1,1,2,1397
982,55,2,3,11,3,11,7,8,5,1,4,1,4568
883,31,1,1,4,1,5,28,28,6,7,1,2,1154
543,67,2,5,7,6,7,8,16,4,4,1,2,2834
982,48,4,5,6,3,7,19,14,4,6,4,1,4391
354,52,2,1,12,3,12,9,12,2,5,1,1,7046
361,48,4,5,12,7,12,2,1,6,2,2,1,11769
543,33,1,5,7,7,7,30,9,4,6,3,1,2391
543,39,2,6,10,6,10,14,2,6,7,1,1,2121
361,32,4,6,12,1,1,30,30,3,4,4,2,11324
354,28,2,1,10,1,10,21,11,7,7,2,2,6749
123,56,1,6,7,7,7,8,25,5,1,2,2,4649
123,23,4,2,3,2,3,14,21,3,3,1,2,5466
543,51,1,5,1,6,1,22,28,4,5,3,2,2171
361,56,3,6,2,5,2,6,14,4,6,4,2,11057
712,26,2,4,5,1,6,25,12,7,3,3,1,1456
543,69,4,6,1,6,1,21,27,1,6,1,1,2091
883,46,4,4,10,4,11,28,16,2,4,3,1,1903
552,67,2,1,5,4,6,17,8,2,5,1,1,937
361,66,1,7,9,7,10,7,1,3,6,3,2,11090
712,35,1,1,11,2,11,1,6,4,3,2,2,1244
267,28,1,2,6,2,7,21,18,7,2,3,1,5424
712,61,3,3,7,7,7,11,25,6,5,3,1,1374
267,34,3,7,6,6,7,27,28,2,6,3,2,5101
362,49,4,5,12,6,1,29,27,2,4,1,1,2136
982,37,4,6,1,6,1,14,13,7,7,3,2,3642
552,49,2,6,12,6,1,21,4,4,2,1,1,657
883,61,1,1,7,4,7,10,3,1,1,1,2,1107
361,68,1,7,7,2,7,2,30,6,4,2,1,11596
123,23,1,1,3,4,3,17,17,6,5,1,1,5234
552,25,3,5,5,1,6,24,6,3,7,4,2,742
123,35,1,2,4,2,5,14,10,1,1,2,1,5214
361,55,4,2,2,6,3,18,19,1,7,1,1,11271
267,41,1,3,7,3,8,7,3,4,6,1,2,5164
267,44,4,7,9,6,9,20,27,1,2,2,1,5879
354,20,4,4,3,2,3,5,2,1,5,3,1,7942
123,33,3,4,10,5,10,1,21,5,3,2,1,5090
354,64,3,1,5,6,5,12,5,3,6,2,1,6919
354,21,3,7,5,3,6,24,4,7,5,3,2,7540
712,22,3,4,4,2,5,12,4,3,6,3,1,1301
552,38,2,3,3,4,4,8,20,3,4,1,1,924
883,21,2,5,7,7,7,16,30,5,4,3,2,1242
883,56,1,7,1,2,2,16,15,4,2,3,2,1211
267,29,1,2,5,6,6,11,7,6,6,3,2,5179
361,46,1,2,9,5,10,24,30,2,5,3,2,11647
362,26,3,4,6,1,6,11,4,6,1,3,2,1695
543,54,3,7,3,2,4,23,25,7,2,4,2,2767
552,36,3,3,5,5,5,9,20,5,3,1,2,579
123,21,3,4,4,3,5,20,4,7,7,2,1,4600
361,49,1,7,11,7,11,7,15,2,5,2,2,11147
123,37,1,4,6,6,6,9,21,5,3,3,2,5068
361,51,1,4,6,6,6,23,4,4,4,3,2,11469
552,70,1,7,5,4,6,25,20,2,3,3,2,911
123,58,2,6,4,3,4,4,5,6,7,1,2,4507
543,56,4,3,7,7,7,4,10,1,5,2,2,2754
552,69,2,3,5,7,6,25,5,1,3,1,1,985
361,24,2,3,1,7,1,18,5,2,1,4,2,11460
552,21,1,3,4,4,4,8,30,1,1,1,2,537
712,27,2,5,9,5,9,14,23,7,1,2,2,1425
883,68,3,5,9,5,10,28,24,2,5,4,2,1662
712,67,3,5,5,7,6,23,19,5,6,4,2,1339
552,39,1,4,9,5,9,1,28,3,2,3,1,619
543,39,2,7,2,7,3,21,27,4,3,1,2,2428
361,64,3,1,6,7,6,13,5,4,6,1,1,11578
354,54,4,6,5,2,5,10,9,3,5,1,2,6291
543,61,4,7,5,5,6,19,28,3,3,3,1,2939
543,38,4,3,9,7,9,18,12,5,6,2,2,2317
361,44,4,6,7,5,8,27,23,4,7,1,2,11763
552,28,1,6,12,4,1,12,29,6,5,4,2,838
982,29,3,1,4,7,5,13,9,7,5,4,2,3082
883,64,2,7,4,7,5,14,12,7,7,4,2,1316
354,50,2,4,7,7,7,3,7,2,4,2,1,6880
552,24,4,2,1,6,1,18,6,6,4,2,2,947
354,49,3,2,10,4,11,30,9,2,2,1,2,7373
883,43,4,7,8,1,9,8,26,2,6,1,2,1794
354,58,3,3,2,4,2,8,5,3,6,3,2,6505
712,21,2,3,10,1,11,26,2,5,5,1,1,1465
361,60,4,7,1,1,1,15,10,4,1,4,1,11989
982,51,2,1,1,4,1,10,19,1,5,4,2,4629
712,27,4,3,7,1,8,26,5,7,2,2,2,1459
362,55,2,5,12,6,1,22,7,3,5,1,2,1611
362,70,3,5,7,5,8,28,7,1,2,2,1,2419
982,56,4,7,12,3,12,10,18,3,2,2,1,4543
883,30,2,1,11,7,12,27,23,3,1,2,2,1542
883,23,4,7,10,1,11,8,12,1,2,4,2,1206
267,43,3,6,4,5,5,20,1,3,7,3,2,5023
267,31,4,1,8,7,8,6,29,7,7,3,2,5407
361,64,1,2,11,4,12,23,27,4,3,1,2,11306
354,67,3,3,3,1,3,5,7,1,4,3,2,7288
712,31,4,6,9,7,10,29,19,5,4,3,2,1020
712,41,2,6,12,2,12,3,18,6,6,4,2,1480
361,44,4,4,2,1,3,25,11,1,6,2,1,11016
362,68,2,5,8,2,9,18,8,1,5,3,1,2401
123,62,4,5,9,6,9,8,29,1,7,1,1,4564
883,43,1,4,11,4,11,14,27,4,2,4,2,1346
552,36,1,5,1,4,2,13,16,5,1,4,2,518
362,66,3,7,5,5,6,12,8,2,7,2,2,2070
552,33,3,3,10,5,11,30,28,2,4,3,2,784
267,28,2,5,11,7,12,16,28,4,1,2,1,5044
123,69,1,4,11,3,12,13,12,7,7,3,1,4960
362,21,1,2,7,7,7,5,3,7,5,4,2,1727
267,57,1,6,11,1,11,2,6,4,5,2,1,5297
712,21,3,4,6,5,6,8,8,5,1,3,1,1391
552,63,4,7,12,7,12,7,12,5,1,2,1,975
362,26,2,3,11,7,11,11,15,1,4,2,2,2450
362,41,1,6,4,3,4,18,26,4,7,2,2,1528
883,41,4,1,11,3,11,16,9,1,1,3,2,1468
712,45,3,6,10,7,11,22,11,1,6,1,1,1284
354,21,4,5,4,3,5,12,24,3,2,3,2,6625
883,48,2,7,10,5,10,5,21,6,3,1,1,1607
552,42,1,7,7,1,7,8,13,2,1,4,2,801
362,41,3,1,9,4,10,24,6,3,1,3,1,1645
267,53,3,2,10,3,10,15,9,3,5,3,2,5610
361,28,2,7,6,4,7,18,24,1,4,3,2,11732
123,68,2,4,6,3,6,13,4,2,5,2,2,4945
354,31,2,3,5,5,5,23,4,4,6,4,2,6707
123,52,2,3,10,4,10,1,11,1,2,2,1,4715
712,65,3,1,3,6,3,26,12,4,3,4,2,1003
552,36,1,7,10,1,10,1,8,3,2,1,1,753
123,68,2,7,10,4,11,4,20,1,1,3,2,4779
362,40,1,5,12,5,12,7,22,1,7,3,1,2472
883,22,2,7,12,1,1,22,15,3,6,4,2,1203
883,33,3,5,11,5,12,28,17,4,5,4,2,1295
123,35,3,5,6,2,6,11,28,4,2,2,1,5262
362,61,3,6,12,7,12,1,8,7,3,3,1,2031
982,33,3,4,12,5,12,1,12,6,7,3,1,4622
712,43,2,4,7,3,7,6,28,3,5,4,2,1248
982,55,2,5,7,5,8,28,27,7,5,3,1,4973
543,21,4,4,6,1,6,4,27,7,3,3,1,2174
354,47,4,4,5,6,6,23,5,5,6,1,1,7670
552,59,1,7,8,3,9,24,7,3,7,4,2,803
354,62,1,4,8,7,9,17,15,1,2,2,2,6991
267,60,2,5,5,5,5,21,4,6,1,4,1,5684
361,45,4,1,8,6,8,12,27,4,5,4,1,11570
267,68,4,5,10,6,10,8,2,4,4,3,2,5298
883,55,2,4,4,3,5,27,18,5,2,4,2,1760
361,70,1,7,7,7,7,28,21,6,3,1,2,11542
361,35,1,5,7,5,8,14,11,2,2,4,1,11346
543,70,4,4,8,5,9,29,4,3,3,4,1,2482
552,25,1,7,7,5,7,12,23,1,2,4,2,674
982,50,1,7,11,3,11,3,16,1,2,1,2,4257
361,30,3,2,10,3,11,8,1,7,4,1,1,11990
712,60,1,4,12,7,1,24,8,1,6,1,2,1010
552,50,2,6,3,7,4,15,23,3,7,2,1,529
123,31,4,4,3,7,3,24,19,1,3,3,1,5492
267,45,1,3,6,7,6,18,6,5,4,2,1,5245
712,36,2,5,9,2,10,18,26,7,1,4,1,1425
361,69,1,6,12,1,1,2,11,7,5,1,2,11641
982,68,1,5,7,5,8,14,22,4,1,1,2,3797
123,30,2,7,12,4,12,4,19,3,6,4,2,4579
123,26,4,5,10,2,11,18,23,4,3,2,2,5030
361,42,2,6,9,2,10,24,2,1,1,4,1,11106
267,51,4,5,9,4,10,27,1,4,1,3,2,5594
543,46,1,4,4,3,5,13,19,1,5,4,2,2934
361,40,4,7,3,2,3,16,4,1,3,2,1,11788
883,53,4,6,7,5,7,6,21,4,2,4,2,1058
267,53,3,3,12,3,1,28,16,4,5,4,1,5300
362,69,3,4,4,5,5,29,30,3,4,2,1,2410
982,65,3,3,9,5,9,23,19,7,5,2,1,4613
543,42,3,2,5,7,6,19,24,7,1,4,2,2385
552,45,4,2,5,2,6,21,21,4,5,2,2,645
552,61,3,6,5,7,5,8,8,5,3,1,2,874
883,67,2,6,12,1,1,30,17,4,5,4,2,1530
712,55,1,7,5,1,5,1,21,2,4,3,2,1131
123,55,3,4,4,4,5,21,12,6,1,1,1,5148
982,28,3,4,2,4,3,28,25,1,6,3,2,3382
552,68,3,7,12,5,12,12,16,4,2,2,2,562
982,39,1,4,3,4,4,28,1,4,3,4,2,4280
361,52,4,3,10,2,11,13,6,5,5,2,1,11615
552,22,4,5,2,1,2,10,10,4,1,1,2,700
354,29,1,7,7,7,7,21,26,3,1,3,1,7654
712,22,2,3,11,1,11,12,17,3,1,3,1,1192
123,29,4,6,9,7,10,29,22,4,1,4,2,4901
712,31,4,2,11,4,11,16,13,7,7,3,2,1017
123,61,4,4,4,4,5,28,22,6,4,1,2,5485
883,48,2,6,4,1,4,2,29,2,3,1,2,1118
883,23,3,1,3,3,3,9,3,3,4,2,2,1034
